_nt,Key,Title,原因代码,原始返回
hydrophilic polymer modified poly caprolactone hydroxyapatite three dimensional printed scaffolds with enhanced hydrophilicity and biodegradability for regenerative endodontic applications,W9HL9DUR,Hydrophilic Polymer-Modified Poly(ε-caprolactone)/Hydroxyapatite Three-dimensional-Printed Scaffolds with Enhanced Hydrophilicity and  Biodegradability for Regenerative Endodontic Applications.,1,【原因代码】: 1
use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging,GD75MEAT,Use and performance of artificial intelligence applications in the diagnosis of chronic apical periodontitis based on cone beam computed tomography imaging.,3,【原因代码】: 3
new approach to dental morphometric research based on 3d imaging techniques,JXPNURLI,New Approach to Dental Morphometric Research Based on 3D Imaging Techniques.,2,【原因代码】: 2
rat tongue kinematics with markerless xromm using deeplabcut and marker masking,R32WAMDT,Rat Tongue Kinematics with Markerless XROMM Using DeepLabCut and Marker Masking.,1,【原因代码】: 1
potential applicability of virtual reality in implant dentistry a narrative review,Y85SAQ5F,Potential applicability of virtual reality in implant dentistry: a narrative review.,2,【原因代码】: 2
evaluation of the marginal fit of computer aided design cad and computer aided manufacturing cam zirconia bridges fabricated with different firing cycles of veneering porcelain an in vitro study,CC4C93VB,Evaluation of the Marginal Fit of Computer-Aided Design (CAD) and Computer-Aided Manufacturing (CAM) Zirconia Bridges Fabricated With Different Firing Cycles of  Veneering Porcelain: An In Vitro Study.,3,【原因代码】: 3
a depth resolved quantitative evaluation method for non carious cervical lesions treatment with optical coherence tomography,UN7U4BJ8,A depth-resolved quantitative evaluation method for non-carious cervical lesions treatment with optical coherence tomography.,3,【原因代码】: 3
virtual articulator software accuracy usability and clinical applicability a systematic review,U5BR4J6Y,"Virtual Articulator Software: Accuracy, Usability, and Clinical Applicability: A Systematic Review.",2,【原因代码】: 2
tablet based augmented reality and 3d printed templates in fully guided microtia reconstruction a clinical workflow,EJE3LUQJ,Tablet-based Augmented reality and 3D printed templates in fully guided Microtia Reconstruction: a clinical workflow.,3,【原因代码】: 3
accuracy of implant placement with a combined use of static and dynamic computer assisted implant surgery in single tooth space a randomized controlled trial,UYNICMWQ,Accuracy of implant placement with a combined use of static and dynamic computer-assisted implant surgery in single tooth space: A randomized controlled  trial.,3,【原因代码】: 3
efficient complete denture metal base design via a dental feature driven segmentation network,4X2TJXXU,Efficient complete denture metal base design via a dental feature-driven segmentation network.,3,【原因代码】: 3
comparison of 3d accuracy of conventional cast metal to milled zirconia implant supported full arch fixed dental prosthesis frameworks,SISAMUSA,Comparison of 3D Accuracy of Conventional Cast Metal to Milled Zirconia Implant-Supported Full-Arch Fixed Dental Prosthesis Frameworks.,3,【原因代码】: 3
automatic real time space registration application for simulating dental and maxillofacial surgery,4RXVW5LA,Automatic Real-Time Space Registration Application for Simulating Dental and Maxillofacial Surgery.,2,【原因代码】: 2
concurrent computed tomography based evaluation of nasal morphology airway volume and skeletal changes following craniofacial distraction osteogenesis a pilot retrospective case series,LQCXZNNJ,"Concurrent computed tomography-based evaluation of nasal morphology, airway volume, and skeletal changes following craniofacial distraction osteogenesis: A  pilot retrospective case series.",1,【原因代码】: 1
mechanical and functional validation of a perfused robot assisted partial nephrectomy simulation platform using a combination of 3d printing and hydrogel casting,LT8NWYEJ,"Mechanical and functional validation of a perfused, robot-assisted partial nephrectomy simulation platform using a combination of 3D printing and hydrogel  casting.",1,【原因代码】: 1
efficacy of metal artifact reduction algorithm of cone beam computed tomography for detection of fenestration and dehiscence around dental implants,KVLBJQPE,Efficacy of Metal Artifact Reduction Algorithm of Cone-Beam Computed Tomography for Detection of Fenestration and Dehiscence around Dental Implants.,3,【原因代码】: 3
an in vitro analysis of implant site preparation and placement protocols on implant accuracy in robot assisted procedures,JYU5QBGN,An In Vitro Analysis of Implant Site Preparation and Placement Protocols on Implant Accuracy in Robot-Assisted Procedures.,3,【原因代码】: 3
a novel solution of using mixed reality in bowel and oral and maxillofacial surgical telepresence 3d mean value cloning algorithm,VTPCDERE,A Novel Solution of Using Mixed Reality in Bowel and Oral and Maxillofacial Surgical Telepresence: 3D Mean Value Cloning algorithm.,3,【原因代码】: 3
advances in digital restorative dentistry evaluation of clinical outcome parameters of cad cam and 3d printed inlays onlays and veneers scoping review,LIQ8K4QS,"Advances in Digital Restorative Dentistry: Evaluation of Clinical Outcome Parameters of CAD/CAM and 3D-Printed Inlays, Onlays, and Veneers-Scoping Review.",2,【原因代码】: 2
development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner,QX8DEXZK,Development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner.,3,【原因代码】: 3
predicting site specific alveolar bone remodeling in class iii decompensation a preliminary study based on a data driven rbf framework,WY9YT5C5,Predicting site-specific alveolar bone remodeling in class III decompensation: a preliminary study based on a data-driven RBF framework.,5,【原因代码】: 5
patient specific gingival recession system based on periodontal disease prediction,VXPM8E6R,Patient-specific gingival recession system based on periodontal disease prediction.,2,【原因代码】: 2
effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a peek based all on four mandibular prosthesis,BG353LUQ,Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a PEEK-based All-on-Four mandibular prosthesis.,3,【原因代码】: 3
role of 3d printing in post op rehabilitation of palatal bone loss by mucormycosis a survey,6VNYBPW6,Role of 3D Printing in Post-op Rehabilitation of Palatal Bone Loss by Mucormycosis: A Survey.,2,【原因代码】: 2
electrical impedance myography method of measuring anisotropic tongue tissue,A2PX5EWK,Electrical impedance myography method of measuring anisotropic tongue tissue.,1,【原因代码】: 1
fit and retention of complete denture bases part ii conventional impressions versus digital scans a clinical controlled crossover study,W29E6BQZ,Fit and retention of complete denture bases: Part II - conventional impressions versus digital scans: A clinical controlled crossover study.,3,【原因代码】: 3
multidentnet a unified deep learning framework for multi class dental condition screening and preliminary oral lesion triage,TMHVPQB7,MultiDentNet: a unified deep learning framework for multi-class dental condition screening and preliminary oral lesion triage.,2,【原因代码】: 2
accuracy of dental implant placement with or without the use of a dynamic navigation assisted system a randomized clinical trial,X4PPGN63,Accuracy of dental implant placement with or without the use of a dynamic navigation assisted system: A randomized clinical trial.,3,【原因代码】: 3
detecting mandible fractures in cbct scans using a 3 stage neural network,UVGSTG9C,Detecting Mandible Fractures in CBCT Scans Using a 3-Stage Neural Network.,3,【原因代码】: 3
