_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
patient specific virtual surgical planning for tongue reconstruction evaluating hyperelastic inverse fem with four simulated tongue cancer cases,Patient-specific virtual surgical planning for tongue reconstruction: evaluating hyperelastic inverse FEM with four simulated tongue cancer cases,PHYSICS IN MEDICINE AND BIOLOGY,journalArticle,5GKX37T6,INCLUDE,EXCLUDE,INCLUDE,"""The resulting images were segmented to produce a 3D model of the tongue using Mimics Medical 17.0 software (Materialise, Leuven, Belgium. 2017)."" 以及 ""The resection surface was then discretized into triangular elements of approximately 0.8 mm size using MeshMixer software (Autodesk Inc. 2018).""",Mimics; MeshMixer,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""The resulting images were segmented to produce a 3D model of the tongue using Mimics Medical 17.0 software (Materialise, Leuven, Belgium. 2017)."" 以及 ""The resection surface was then discretized into triangular elements of approximately 0.8 mm size using MeshMixer software (Autodesk Inc. 2018).""
【软件】: Mimics; MeshMixer
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
posterior implant angulation without cantilever reduction in mandibular all on 4 a controlled finite element analysis of stress transfer and implant macrodesign effects,Posterior implant angulation without cantilever reduction in mandibular All-on-4: a controlled finite element analysis of stress transfer and implant macrodesign  effects.,BMC oral health,journalArticle,KHNTF6NJ,INCLUDE,EXCLUDE,INCLUDE,"""Implant and prosthetic component geometries ... were digitized using an optical 3D scanner ... and assembled in Rhinoceros 4.0""; ""After initial contour extraction in 3D-Doctor""; ""Preprocessing and solution were performed using a commercial finite element solver (ALGOR FEMPRO; ALGOR Inc., Pittsburgh, PA, USA)""",Rhinoceros; 3D-Doctor; ALGOR FEMPRO,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""Implant and prosthetic component geometries ... were digitized using an optical 3D scanner ... and assembled in Rhinoceros 4.0""; ""After initial contour extraction in 3D-Doctor""; ""Preprocessing and solution were performed using a commercial finite element solver (ALGOR FEMPRO; ALGOR Inc., Pittsburgh, PA, USA)""
【软件】: Rhinoceros; 3D-Doctor; ALGOR FEMPRO
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
multi view deep learning for mandibular landmark localization,Multi-view deep learning for mandibular landmark localization,JOURNAL OF DENTISTRY,journalArticle,XGS4APUB,INCLUDE,EXCLUDE,INCLUDE,"""Models were rotated in Mimics 24.0 (Materialise, Belgium) to align the Frankfort plane..."" 及 ""CBCT scans ... were imported into Mimics 24.0. Bone masks were extracted..."" 及 ""In Geomagic Wrap 2021 (3D Systems, USA), internal faces were removed and surface defects repaired.""",Mimics; Geomagic Wrap,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""Models were rotated in Mimics 24.0 (Materialise, Belgium) to align the Frankfort plane..."" 及 ""CBCT scans ... were imported into Mimics 24.0. Bone masks were extracted..."" 及 ""In Geomagic Wrap 2021 (3D Systems, USA), internal faces were removed and surface defects repaired.""
【软件】: Mimics; Geomagic Wrap
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
three dimensional finite element analysis of stress distribution in a tooth restored with full coverage machined polymer crown,Three-Dimensional Finite Element Analysis of Stress Distribution in a Tooth Restored with Full Coverage Machined Polymer Crown,APPLIED SCIENCES-BASEL,journalArticle,HI8MENLK,INCLUDE,EXCLUDE,INCLUDE,"""To obtain a 3D model from 2D images via a micro-CT scan, a medical imaging software Mimics® 13.1 (Materialise NY, Leuven, Belgium) was used""；""This high-quality mesh was created using models Hypermesh® (HyperWorks software, Version 11.0, Altair Engineering, Inc., Troy, MI, USA).""",Mimics; HyperMesh,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""To obtain a 3D model from 2D images via a micro-CT scan, a medical imaging software Mimics® 13.1 (Materialise NY, Leuven, Belgium) was used""；""This high-quality mesh was created using models Hypermesh® (HyperWorks software, Version 11.0, Altair Engineering, Inc., Troy, MI, USA).""
【软件】: Mimics; HyperMesh
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
comparing the trueness of 3d printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs an in vitro study,Comparing the trueness of 3D printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs: An in vitro study,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,8F9WEIIK,INCLUDE,INCLUDE,INCLUDE,All metal frameworks were scanned and superimposed with the definitive casts with the Geomagic Control X software program. / The STL files of each framework were individually superimposed with the STL file definitive cast using a software program (Geomagic Control X 2022; Hexagon AB) to measure overall gap deviation in millimeters.,Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: All metal frameworks were scanned and superimposed with the definitive casts with the Geomagic Control X software program. / The STL files of each framework were individually superimposed with the STL file definitive cast using a software program (Geomagic Control X 2022; Hexagon AB) to measure overall gap deviation in millimeters.
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
direct ink writing with dental composites a paradigm shift toward sustainable chair side production,Direct ink writing with dental composites: A paradigm shift toward sustainable chair-side production,DENTAL MATERIALS,journalArticle,68LCNUVN,INCLUDE,INCLUDE,INCLUDE,"""the images were imported into the open-source software CloudCompare (version 2.12.4) as individual 3D point clouds"" 以及 ""The occlusal surface of a maxillary first molar model was sliced to generate G-code using Ultimaker Cura (version 5.0.0)""",CloudCompare; Ultimaker Cura,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""the images were imported into the open-source software CloudCompare (version 2.12.4) as individual 3D point clouds"" 以及 ""The occlusal surface of a maxillary first molar model was sliced to generate G-code using Ultimaker Cura (version 5.0.0)""
【软件】: CloudCompare; Ultimaker Cura
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
automated artificial intelligence driven 3 dimensional craniofacial superimposition for clinically useful treatment outcomes in growing patients a multicenter study,Automated artificial intelligence-driven 3-dimensional craniofacial superimposition for clinically useful treatment outcomes in growing patients: A  multicenter study.,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent  societies, and the American Board of Orthodontics",journalArticle,I8JFM7AT,INCLUDE,EXCLUDE,INCLUDE,"""This approach involves segmentations by user interactive ITK-SNAP (version 4.0.1) and voxel-based SlicerCMF registration tool (cmf.slicer.org) via 3D Slicer (version 5.2.2)."" / ""Fig 2. CBCT Image processing workflow in the 3D Slicer software: A, Data anonymization. 3D Slicer module Bach Anonymizer was used...""",ITK-SNAP; 3D Slicer,Orthodontics,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: ""This approach involves segmentations by user interactive ITK-SNAP (version 4.0.1) and voxel-based SlicerCMF registration tool (cmf.slicer.org) via 3D Slicer (version 5.2.2)."" / ""Fig 2. CBCT Image processing workflow in the 3D Slicer software: A, Data anonymization. 3D Slicer module Bach Anonymizer was used...""
【软件】: ITK-SNAP; 3D Slicer
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
microstructure and mechanical properties of co cr alloy fabricated by selective laser melting technology for removable partial denture frameworks,Microstructure and Mechanical Properties of Co-Cr Alloy Fabricated by Selective Laser Melting Technology for Removable Partial Denture Frameworks,JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,journalArticle,DHQBWA35,,INCLUDE,INCLUDE,"""Initially, the specimens were designed by CAD software (Siemens NX 12 software) for tensile testing (Fig. 1a)"" 及 ""Design of the Co-Cr specimens with Siemens NX 12 software""",Siemens NX,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""Initially, the specimens were designed by CAD software (Siemens NX 12 software) for tensile testing (Fig. 1a)"" 及 ""Design of the Co-Cr specimens with Siemens NX 12 software""
【软件】: Siemens NX
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
usct uncertainty regularized symmetric consistency learning for semi supervised teeth segmentation in cbct,USCT: Uncertainty-regularized symmetric consistency learning for semi-supervised teeth segmentation in CBCT,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,H25H88EY,INCLUDE,EXCLUDE,EXCLUDE,"证据片段中 ITK-SNAP 仅用于 ""The ground truth was manually plotted slice by slice by researchers using the ITK-SNAP software""（人工标注ground truth），而该研究自身的方法核心是自研的半监督分割网络（USCT），未使用具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量；ITK-SNAP 仅用于标注，不构成本研究自身对3D数据的处理/分析/建模/测量。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中 ITK-SNAP 仅用于 ""The ground truth was manually plotted slice by slice by researchers using the ITK-SNAP software""（人工标注ground truth），而该研究自身的方法核心是自研的半监督分割网络（USCT），未使用具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量；ITK-SNAP 仅用于标注，不构成本研究自身对3D数据的处理/分析/建模/测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a three year prospective study comparing stereolithography printed models to classical impression and plaster cast models in orthodontic therapy a 3d objectification approach,A Three-Year Prospective Study Comparing Stereolithography Printed Models to Classical Impression and Plaster Cast Models in Orthodontic Therapy: A 3D Objectification Approach,APPLIED SCIENCES-BASEL,journalArticle,UEHCEHSN,INCLUDE,EXCLUDE,INCLUDE,"""modiﬁcations were made using the best-ﬁt algorithm in Autodesk Meshmixer 3.5 (Autodesk, Inc., San Rafael, Kaliforni, USA)... Subsequently, the models were imported into CloudCompare 2.13, where the ﬁnal ﬁne registration was conducted using the iterative closest point (ICP) algorithm.""",Autodesk Meshmixer; CloudCompare,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""modiﬁcations were made using the best-ﬁt algorithm in Autodesk Meshmixer 3.5 (Autodesk, Inc., San Rafael, Kaliforni, USA)... Subsequently, the models were imported into CloudCompare 2.13, where the ﬁnal ﬁne registration was conducted using the iterative closest point (ICP) algorithm.""
【软件】: Autodesk Meshmixer; CloudCompare
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
