_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
predicting site specific alveolar bone remodeling in class iii decompensation a preliminary study based on a data driven rbf framework,Predicting site-specific alveolar bone remodeling in class III decompensation: a preliminary study based on a data-driven RBF framework.,BMC oral health,journalArticle,Other / not classifiable,INCLUDE,全文明确说明使用 Mimics software (version 21.0) 对 DICOM 数据进行三维重建和图像分割，属研究自身方法中使用非牙科专用3D软件。,Orthodontics,Image segmentation and 3D reconstruction,Mimics,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明使用 Mimics software (version 21.0) 对 DICOM 数据进行三维重建和图像分割，属研究自身方法中使用非牙科专用3D软件。
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: clinical"
development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner,Development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner.,Forensic science international,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明在 GOM Inspect 软件中裁剪腭部扫描区域并选取、描记腭皱襞进行数字分析。,Forensic Odontology,Morphological and phenotypic analysis,GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明在 GOM Inspect 软件中裁剪腭部扫描区域并选取、描记腭皱襞进行数字分析。
【专科】: Forensic Odontology
【应用场景】: Morphological and phenotypic analysis
【软件】: GOM Inspect
【研究设计】: in_vitro"
detecting mandible fractures in cbct scans using a 3 stage neural network,Detecting Mandible Fractures in CBCT Scans Using a 3-Stage Neural Network.,Journal of dental research,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明研究者使用 ITK-SNAP (version 3.6.0) 对下颌骨及骨折进行逐层分割标注，属该研究自身方法中使用非牙科专用3D软件。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,ITK-SNAP,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明研究者使用 ITK-SNAP (version 3.6.0) 对下颌骨及骨折进行逐层分割标注，属该研究自身方法中使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP
【研究设计】: computational"
accuracy of intraoral optical scan versus stereophotogrammetry for complete arch digital implant impression an in vitro study,Accuracy of intraoral optical scan versus stereophotogrammetry for complete-arch digital implant impression: An in vitro study.,Journal of prosthodontic research,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 Geomagic Studio 12 对60个测试STL文件进行对齐和精度评估，属研究自身使用非牙科3D软件。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Studio,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 Geomagic Studio 12 对60个测试STL文件进行对齐和精度评估，属研究自身使用非牙科3D软件。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Studio
【研究设计】: in_vitro"
fit and retention of complete denture bases part ii conventional impressions versus digital scans a clinical controlled crossover study,Fit and retention of complete denture bases: Part II - conventional impressions versus digital scans: A clinical controlled crossover study.,The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明将扫描数据导入 Geomagic Control X 2020 进行修剪、最佳拟合对齐及配准比较，属该研究自身使用非牙科3D软件处理3D数据。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明将扫描数据导入 Geomagic Control X 2020 进行修剪、最佳拟合对齐及配准比较，属该研究自身使用非牙科3D软件处理3D数据。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: clinical"
experimental study on dimensional variations of 3d printed dental models based on printing orientation,Experimental study on dimensional variations of 3D printed dental models based on printing orientation.,Clinical case reports,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 Geomagic Control X 软件对3D扫描数据进行配准和偏差分析以评估打印精度。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 Geomagic Control X 软件对3D扫描数据进行配准和偏差分析以评估打印精度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
accuracy of the implant replica positions on the complete edentulous additive manufactured cast,Accuracy of the Implant Replica Positions on the Complete Edentulous Additive Manufactured Cast.,Journal of prosthodontics : official journal of the American College of Prosthodontists,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 CAD 软件 Geomagic（3D Systems）进行最佳拟合与三维偏差计算。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 CAD 软件 Geomagic（3D Systems）进行最佳拟合与三维偏差计算。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic
【研究设计】: in_vitro"
does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement a human cadaver study,Does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement?: A human cadaver study.,Clinical oral implants research,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用非牙科3D检测软件 Geomagic Verify 进行光学印模的检查与叠加分析。,Implantology,3D data analysis and accuracy assessment,Geomagic Verify,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用非牙科3D检测软件 Geomagic Verify 进行光学印模的检查与叠加分析。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Verify
【研究设计】: clinical"
comparison of the reproducibility of maxillary position transfer with a mechanical facebow and those with facial scanning and cone beam computed tomography based on a method of model orientation using anatomical landmarks,"Comparison of the reproducibility of maxillary position transfer with a mechanical facebow and those with facial scanning and cone beam computed  tomography, based on a method of model orientation using anatomical landmarks.",Journal of prosthodontics : official journal of the American College of Prosthodontists,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 Geomagic Wrap 修改扫描数据、Geomagic Control X 进行坐标系重建与模型定向、Mimics Research 将 CBCT DICOM 转为 STL。,Prosthodontics,Surgical planning and precise implementation,Geomagic Wrap; Geomagic Control X; Mimics Research,clinical,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 Geomagic Wrap 修改扫描数据、Geomagic Control X 进行坐标系重建与模型定向、Mimics Research 将 CBCT DICOM 转为 STL。
【专科】: Prosthodontics
【应用场景】: Surgical planning and precise implementation
【软件】: Geomagic Wrap; Geomagic Control X; Mimics Research
【研究设计】: clinical"
rehabilitation of the severely atrophic maxilla with subperiosteal implants a biomechanical and decision analysis of material and configuration choices,Rehabilitation of the Severely Atrophic Maxilla with Subperiosteal Implants: A Biomechanical and Decision Analysis of Material and Configuration Choices.,"Biomimetics (Basel, Switzerland)",journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 SolidWorks 设计固定螺钉、使用 ABAQUS 进行有限元分析，均为非牙科专用3D软件。,Prosthodontics,Biomechanical analysis and simulation,SolidWorks; ABAQUS,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 SolidWorks 设计固定螺钉、使用 ABAQUS 进行有限元分析，均为非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: SolidWorks; ABAQUS
【研究设计】: computational"
novel design of additive manufactured hollow porous implants,Novel design of additive manufactured hollow porous implants.,Dental materials : official publication of the Academy of Dental Materials,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明该研究自己使用有限元软件 ANSYS 构建三维有限元模型并进行力学计算（""The three-dimensional finite element model was built by finite element software ANSYS""）。",Implantology,Biomechanical analysis and simulation,ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用有限元软件 ANSYS 构建三维有限元模型并进行力学计算（""The three-dimensional finite element model was built by finite element software ANSYS""）。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: ANSYS
【研究设计】: computational"
lateral stress distribution analysis on hafnium metal bar for implant superstructure a finite element analysis,Lateral stress distribution analysis on hafnium metal bar for implant superstructure- A finite element analysis.,Journal of oral biology and craniofacial research,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自身使用 SolidWorks 2021 进行CAD建模、HyperMesh 14 进行网格划分、Abaqus 6.14 进行应力仿真分析。,Implantology,Biomechanical analysis and simulation,SolidWorks; HyperMesh; ABAQUS,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身使用 SolidWorks 2021 进行CAD建模、HyperMesh 14 进行网格划分、Abaqus 6.14 进行应力仿真分析。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: SolidWorks; HyperMesh; ABAQUS
【研究设计】: computational"
