_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
evaluation of the accuracy trueness precision and processing time of different 3 dimensional cad software programs and algorithms for virtual cast alignment,"Evaluation of the accuracy (trueness, precision) and processing time of different 3-dimensional CAD software programs and algorithms for virtual cast alignment.",Journal of dentistry,journalArticle,No non-dental 3D software identified,Blender; Geomagic Control X; Meshlab; Meshmixer,E1,该体外研究属口腔修复/数字化牙科主题，自身明确使用非牙科专用3D软件 Meshmixer 和 Blender 进行虚拟模型对齐分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该体外研究属口腔修复/数字化牙科主题，自身明确使用非牙科专用3D软件 Meshmixer 和 Blender 进行虚拟模型对齐分析，为原创研究，符合全部纳入标准。"
comparison of stereolithography stl and polygon file format ply for intraoral scans from chairside to archive,Comparison of stereolithography (STL) and polygon file format (PLY) for intraoral scans: From chairside to archive.,Journal of dentistry,journalArticle,No non-dental 3D software identified,Blender; MeshLab; blender,E1,该研究属口腔医学（口内扫描数据存储），自身明确使用非牙科3D软件 Blender 3.6/4.4 和 PyMeshLab 进行 STL-PLY 转换与几何分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔医学（口内扫描数据存储），自身明确使用非牙科3D软件 Blender 3.6/4.4 和 PyMeshLab 进行 STL-PLY 转换与几何分析，为原创研究，符合全部纳入标准。"
novel design of additive manufactured hollow porous implants,Novel design of additive manufactured hollow porous implants.,Dental materials : official publication of the Academy of Dental Materials,journalArticle,No non-dental 3D software identified,ANSYS,E1,该研究为牙种植体原创研究，全文明确使用非牙科专用有限元软件ANSYS构建3D模型进行力学计算，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为牙种植体原创研究，全文明确使用非牙科专用有限元软件ANSYS构建3D模型进行力学计算，符合全部纳入标准。"
impact of the superimposition reference area on intraoral scanning accuracy in a partially dentate maxilla,Impact of the superimposition reference area on intraoral scanning accuracy in a partially dentate maxilla.,The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control X,E1,该原创研究在口腔修复学领域，自身明确使用非牙科专用3D软件 Geomagic Control X 进行扫描叠加与3D偏差分析。,"【判定】: E1
【理由】: 该原创研究在口腔修复学领域，自身明确使用非牙科专用3D软件 Geomagic Control X 进行扫描叠加与3D偏差分析。"
lateral stress distribution analysis on hafnium metal bar for implant superstructure a finite element analysis,Lateral stress distribution analysis on hafnium metal bar for implant superstructure- A finite element analysis.,Journal of oral biology and craniofacial research,journalArticle,No non-dental 3D software identified,Abaqus; HyperMesh; SolidWorks,E1,该研究为口腔种植领域的原创有限元分析，全文明确使用非牙科专用软件 SolidWorks、HyperMesh 和 Abaqus 进行建模、网格划分与应力分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元分析，全文明确使用非牙科专用软件 SolidWorks、HyperMesh 和 Abaqus 进行建模、网格划分与应力分析。"
digitally driven optimization of intraoral water jet parameters for plaque removal a personalized 3d guided orthogonal study,Digitally-driven optimization of intraoral water jet parameters for plaque removal: a personalized 3D-guided orthogonal study.,BMC oral health,journalArticle,No non-dental 3D software identified,Geomagic Wrap; Rhinoceros,E1,该研究为口腔医学（牙周/预防）原创研究，全文明确使用非牙科3D软件 Rhinoceros 7.0 进行个性化导板建模、Geomagic Wrap 2021 进行3D菌斑定量分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔医学（牙周/预防）原创研究，全文明确使用非牙科3D软件 Rhinoceros 7.0 进行个性化导板建模、Geomagic Wrap 2021 进行3D菌斑定量分析，符合纳入标准。"
effect of printing technology layer height and orientation on assessment of 3d printed models,"Effect of printing technology, layer height, and orientation on assessment of 3D-printed models.",Journal of the World federation of orthodontists,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control,E1,"该研究属正畸学原创研究，全文明确使用非牙科专用3D软件 Geomagic Control 进行STL模型叠加与偏差分析（""imported as the reference model in the metrology software (Geomagic Control...)""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究属正畸学原创研究，全文明确使用非牙科专用3D软件 Geomagic Control 进行STL模型叠加与偏差分析（""imported as the reference model in the metrology software (Geomagic Control...)""），符合全部纳入标准。"
the accuracy of a novel image guided hybrid robotic system for dental implant placement an in vitro study,The accuracy of a novel image-guided hybrid robotic system for dental implant placement: An in vitro study.,The international journal of medical robotics + computer assisted surgery : MRCAS,journalArticle,No non-dental 3D software identified,BrainLAB; Brainlab; Geomagic Studio,E1,该体外研究属口腔种植领域，全文明确将CBCT数据导入Geomagic Studio建模并导入Brainlab CMF软件进行图像融合与精度评估，属原创研究且符合时间范围。,"【判定】: E1
【理由】: 该体外研究属口腔种植领域，全文明确将CBCT数据导入Geomagic Studio建模并导入Brainlab CMF软件进行图像融合与精度评估，属原创研究且符合时间范围。"
clinical implementation of an eu mdr compliant point of care manufacturing framework for patient specific 3d printed peek implants in craniomaxillofacial reconstruction,Clinical implementation of an EU MDR-compliant point-of-care manufacturing framework for patient-specific 3D-printed PEEK implants in craniomaxillofacial  reconstruction.,3D printing in medicine,journalArticle,Not an original research report,Geomagic Freeform; MIMICS; Mimics,E1,该原创研究在颅颌面PEEK植入物制造中自身使用了非牙科3D软件MIMICS Innovation Suite进行CT分割与三维重建，并用Geomagic Freeform Plus进行CAD设计，符合口腔医学主题及非牙科3D软件使用要求。,"【判定】: E1
【理由】: 该原创研究在颅颌面PEEK植入物制造中自身使用了非牙科3D软件MIMICS Innovation Suite进行CT分割与三维重建，并用Geomagic Freeform Plus进行CAD设计，符合口腔医学主题及非牙科3D软件使用要求。"
influence of intraoral scanners operators and data processing on dimensional accuracy of dental casts for unsupervised clinical machine learning an in vitro comparative study,"Influence of Intraoral Scanners, Operators, and Data Processing on Dimensional Accuracy of Dental Casts for Unsupervised Clinical Machine Learning: An In Vitro  Comparative Study.",International journal of dentistry,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该研究为口腔修复/数字化牙科原创研究，全文明确使用非牙科3D软件 Meshmixer 对牙弓扫描数据进行挤出建模以生成增强数据集，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复/数字化牙科原创研究，全文明确使用非牙科3D软件 Meshmixer 对牙弓扫描数据进行挤出建模以生成增强数据集，符合纳入标准。"
ct based three dimensional morphometric analysis of the bony palate and hard palatal mucosa in female orthognathic surgery candidates,CT-based three-dimensional morphometric analysis of the bony palate and hard palatal mucosa in female orthognathic surgery candidates.,Frontiers in oral health,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究属口腔正畸/颌面外科领域，全文明确使用非牙科专用3D软件 Mimics 27.0 进行腭部形态三维测量分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔正畸/颌面外科领域，全文明确使用非牙科专用3D软件 Mimics 27.0 进行腭部形态三维测量分析，为原创研究，符合全部纳入标准。"
a novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner a preliminary study,A novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner: A preliminary study.,PloS one,journalArticle,No non-dental 3D software identified,Blender,E1,该研究属口腔医学（下颌运动/颞下颌关节），为原创研究，且全文明确使用非牙科专用3D软件 Blender 2.79.2 进行网格对齐与建模分析。,"【判定】: E1
【理由】: 该研究属口腔医学（下颌运动/颞下颌关节），为原创研究，且全文明确使用非牙科专用3D软件 Blender 2.79.2 进行网格对齐与建模分析。"
in vitro comparison of five desktop scanners and an industrial scanner in the evaluation of an intraoral scanner accuracy,In vitro comparison of five desktop scanners and an industrial scanner in the evaluation of an intraoral scanner accuracy.,Journal of dentistry,journalArticle,No non-dental 3D software identified,GOM Inspect,E1,该研究属口腔修复学领域，全文方法部分明确使用非牙科专用计量软件 GOM Inspect 进行扫描分割、对齐与偏差分析，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔修复学领域，全文方法部分明确使用非牙科专用计量软件 GOM Inspect 进行扫描分割、对齐与偏差分析，且为原创研究，符合全部纳入标准。"
